project,p_freedom_iss,p_respect_iss,p_equity_iss,p_broad_iss,p_power_iss,p_enviro_iss,p_in_all,p_out_a0_1,p_out_a2_3,p_out_a4_8,p_out_a9up,month
Konjure,,,,,,,1,1,,,,2016m8
Konjure,,,,,,,0,,0,,,2016m9
Konjure,,,,,,,0,,0,1,,2016m10
Konjure,,,,,,,.5,1,,0,,2016m11
Konjure,,,,,,,.6666666666666666,1,,0,,2016m12
Konjure,,,,,,,1,.5,,,,2017m2
Konjure,,,,,,,0,,,0,,2017m3
Konjure,,,,,,,0,,,0,,2017m4
Konjure,,,,,,,.6666666666666666,1,,0,,2017m9
Konjure,,,,,,,1,1,,,,2018m2
Konjure,,,,,,,1,1,,,,2018m3
Konjure,,,,,,,1,0,,,,2018m4
Konjure,,,,,,,.5,1,,,1,2018m5
Konjure,,,,,,,0,,0,,,2018m6
Konjure,,,,,,,0,,0,,,2018m7
Konjure,,,,,,,0,,,0,,2018m8
Konjure,,,,,,,.5,0,,0,,2018m9
Konjure,,,,,,,0,,,0,,2018m10
Konjure,0,0,0,0,0,0,0,,,0,,2018m11
Konjure,0,0,0,0,0,0,.5,1,,1,,2019m5
MushroomObserver,0,0,0,0,0,0,0,,,,0,2016m1
MushroomObserver,0,0,0,0,0,0,.25,0,,0,0,2016m3
MushroomObserver,0,0,0,0,0,0,0,,,,0,2016m4
MushroomObserver,0,0,0,0,0,0,.25,0,0,,0,2016m5
MushroomObserver,0,0,0,0,0,0,0,,0,,0,2016m6
MushroomObserver,0,0,0,0,0,0,0,,,,0,2016m7
MushroomObserver,0,0,0,0,0,0,0,,,1,0,2016m8
MushroomObserver,0,0,0,0,0,0,0,,,,0,2016m9
MushroomObserver,0,0,0,0,0,0,0,,,,0,2016m10
MushroomObserver,,,,,,,0,,,,0,2016m11
MushroomObserver,0,0,0,0,0,0,0,,,,0,2016m12
MushroomObserver,0,0,0,0,0,0,.2,1,,,0,2017m1
MushroomObserver,0,0,0,0,0,0,0,,,,0,2017m2
MushroomObserver,0,0,0,0,0,0,.1666666666666667,0,,,0,2017m3
MushroomObserver,0,0,0,0,0,0,0,,,,0,2017m4
MushroomObserver,0,0,0,0,0,0,0,,1,0,0,2017m5
MushroomObserver,0,0,0,0,0,0,0,,,,.2,2017m6
MushroomObserver,,,,,,,0,,,,0,2017m7
MushroomObserver,0,0,0,0,0,0,0,,,,0,2017m8
MushroomObserver,0,0,0,0,0,0,0,,,,0,2017m9
MushroomObserver,0,0,0,0,0,0,0,,,,0,2017m10
MushroomObserver,0,0,0,0,0,0,0,,,,0,2017m11
MushroomObserver,0,0,0,0,0,0,0,,,,0,2017m12
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m1
MushroomObserver,0,0,0,0,0,0,0,,,,0,2018m2
